"","r200416","r200417","r200418","r200419","r200420","r200421","r200422","r200423","r200424","r200425","r200427","r200428","r200429","r200430","r200501","r200502","r200503","r200504","r200505","r200506"
"2020-04-05",33,33,33,33,33,34,34,34,34,33,33,32,32,32,32,32,32,32,32,32
"2020-04-06",44,44,44,43,42,43,43,43,43,44,44,44,44,44,44,44,44,44,44,45
"2020-04-07",39,40,40,40,41,41,42,42,42,41,41,41,41,41,41,41,41,41,41,41
"2020-04-08",24,24,24,24,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24
"2020-04-09",30,31,31,31,32,32,32,33,33,32,32,31,32,32,32,32,32,32,32,32
"2020-04-10",27,28,28,28,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28
"2020-04-11",26,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,25,26
"2020-04-12",22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"2020-04-13",22,23,24,24,23,23,24,24,24,25,26,25,25,26,26,26,26,26,26,26
"2020-04-14",23,29,31,33,33,35,35,35,35,35,35,35,35,35,35,35,34,35,35,35
"2020-04-15",8,17,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"2020-04-16",0,7,23,27,27,28,29,29,29,29,29,29,29,29,30,29,29,29,29,29
"2020-04-17",NA,0,5,16,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"2020-04-18",NA,NA,0,1,10,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21
"2020-04-19",NA,NA,NA,0,5,25,31,31,32,31,31,31,31,31,31,31,31,31,31,31
"2020-04-20",NA,NA,NA,NA,0,7,19,28,28,27,28,28,27,28,28,28,28,28,28,28
"2020-04-21",NA,NA,NA,NA,NA,0,3,26,30,32,32,33,33,33,33,33,33,33,33,33
"2020-04-22",NA,NA,NA,NA,NA,NA,0,6,21,19,22,22,22,22,23,23,22,23,23,23
"2020-04-23",NA,NA,NA,NA,NA,NA,NA,0,6,9,25,26,25,26,26,26,26,26,26,26
"2020-04-24",NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,17,18,18,18,18,18,18,18,18
"2020-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,23,23,25,25,25,25,25,25,26
"2020-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,16,22,22,22,22,22,22,22
"2020-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,17,18,19,19,19,19,19
"2020-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,8,11,11,12,12,12,12
"2020-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,11,12,12,13,14
"2020-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,8,9,10,12,12
"2020-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,11,13,14,14
"2020-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,12,18,19
"2020-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,10,13
"2020-05-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7
"2020-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2020-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
